"symbol"	"log2fc"	"pv"	"fdr"	"dataset_id"	"dataset_annot"
"EGLN3"	3.4353473	0.0021124	0.322	"GSE781"	"renal_cell_carcinoma"
"ANGPTL4"	3.3715442	0.0155665	0.426	"GSE781"	"renal_cell_carcinoma"
"FAM26F"	3.1069495	0.0056953	0.359	"GSE781"	"renal_cell_carcinoma"
"ITGA4"	3.0682432	0.0004684	0.322	"GSE781"	"renal_cell_carcinoma"
"KCCAT333"	3.0147521	0.02576	0.461	"GSE781"	"renal_cell_carcinoma"
"KISS1R"	2.8251432	0.0021771	0.322	"GSE781"	"renal_cell_carcinoma"
"ST8SIA4"	2.8003495	0.0151502	0.424	"GSE781"	"renal_cell_carcinoma"
"UBE2QL1"	2.6593586	0.005018	0.357	"GSE781"	"renal_cell_carcinoma"
"GAS2L3"	2.6481232	7.79e-05	0.261	"GSE781"	"renal_cell_carcinoma"
"CDCA7L"	2.5598212	0.0146558	0.422	"GSE781"	"renal_cell_carcinoma"
"TAGAP"	2.5440491	0.0008287	0.322	"GSE781"	"renal_cell_carcinoma"
"COL23A1"	2.5068169	0.0054371	0.359	"GSE781"	"renal_cell_carcinoma"
"MYEOV"	2.4971044	0.0022585	0.322	"GSE781"	"renal_cell_carcinoma"
"ADAP2"	2.4663652	0.0007713	0.322	"GSE781"	"renal_cell_carcinoma"
"ENPP3"	2.4325454	0.0016308	0.322	"GSE781"	"renal_cell_carcinoma"
"PACRGL"	2.4310916	4.95e-05	0.261	"GSE781"	"renal_cell_carcinoma"
"SLC9A9"	2.4307258	1.49e-05	0.162	"GSE781"	"renal_cell_carcinoma"
"KIAA1462"	2.3921124	0.0001924	0.306	"GSE781"	"renal_cell_carcinoma"
"GJC1"	2.3903749	0.0047168	0.357	"GSE781"	"renal_cell_carcinoma"
"STAMBPL1"	2.358626	0.0002563	0.318	"GSE781"	"renal_cell_carcinoma"
"NETO2"	2.3464227	0.0019009	0.322	"GSE781"	"renal_cell_carcinoma"
"FLT1"	2.3460017	0.0024756	0.322	"GSE781"	"renal_cell_carcinoma"
