"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"215306_at"	"0.126"	"0.00000673"	"6.356378"	"3.5328"	"1.8410189"	""	""
"215161_at"	"0.126"	"0.00001172"	"-6.073443"	"3.0905"	"-3.061406"	"CAMK1G"	"calcium/calmodulin dependent protein kinase IG"
"217675_at"	"0.126"	"0.00001831"	"5.849603"	"2.7307"	"1.7284699"	"ZBTB7C"	"zinc finger and BTB domain containing 7C"
"211496_s_at"	"0.126"	"0.00002789"	"-5.641398"	"2.3882"	"-1.7320586"	"PDC"	"phosducin"
"219073_s_at"	"0.126"	"0.00003126"	"-5.585376"	"2.2949"	"-1.4061313"	"OSBPL10"	"oxysterol binding protein like 10"
"219746_at"	"0.126"	"0.00004766"	"5.380076"	"1.9483"	"0.9409628"	"DPF3"	"double PHD fingers 3"
"215917_at"	"0.126"	"0.00005094"	"5.347902"	"1.8933"	"3.0813114"	"RAD21L1"	"RAD21 cohesin complex component like 1"
"215320_at"	"0.126"	"0.00005386"	"5.320945"	"1.8472"	"2.9166827"	"SPATA31C2"	"SPATA31 subfamily C member 2"
"206232_s_at"	"0.126"	"0.00005463"	"-5.314093"	"1.8354"	"-1.8147836"	"B4GALT6"	"beta-1,4-galactosyltransferase 6"
"213666_at"	"0.126"	"0.00005666"	"-5.296514"	"1.8052"	"-0.9399717"	"SEPT6"	"septin 6"
"206278_at"	"0.131"	"0.0000748"	"5.163248"	"1.5749"	"2.3515068"	"PTAFR"	"platelet activating factor receptor"
"204055_s_at"	"0.131"	"0.00008379"	"-5.109066"	"1.4805"	"-2.416566"	"CTAGE5"	"CTAGE family member 5, ER export factor"
"218801_at"	"0.131"	"0.00008387"	"-5.108657"	"1.4798"	"-0.9008834"	"UGGT2"	"UDP-glucose glycoprotein glucosyltransferase 2"
"205344_at"	"0.131"	"0.00009368"	"-5.055986"	"1.3876"	"-2.2357508"	"CSPG5"	"chondroitin sulfate proteoglycan 5"
"202018_s_at"	"0.131"	"0.00009439"	"5.052379"	"1.3813"	"3.8198823"	"LTF"	"lactotransferrin"
"210229_s_at"	"0.131"	"0.00009546"	"5.047008"	"1.3719"	"1.2673931"	"CSF2"	"colony stimulating factor 2"
"219042_at"	"0.131"	"0.0001056"	"-4.999096"	"1.2876"	"-1.649825"	"LZTS1"	"leucine zipper tumor suppressor 1"
"213929_at"	"0.131"	"0.00010614"	"4.996701"	"1.2834"	"1.0655943"	"EXPH5"	"exophilin 5"
"203894_at"	"0.144"	"0.00012922"	"-4.903608"	"1.1187"	"-0.7198866"	"TUBG2"	"tubulin gamma 2"
"216809_at"	"0.144"	"0.00013415"	"4.885954"	"1.0873"	"1.1518468"	"CYLC1"	"cylicin 1"
"211606_at"	"0.144"	"0.0001408"	"4.863157"	"1.0468"	"2.3723087"	""	""
"37004_at"	"0.144"	"0.00014421"	"4.851883"	"1.0267"	"1.9634298"	"SFTPB"	"surfactant protein B"
"208215_x_at"	"0.144"	"0.00014831"	"4.838683"	"1.0031"	"1.3998108"	"DRD4"	"dopamine receptor D4"
"219736_at"	"0.151"	"0.00017011"	"-4.774241"	"0.8879"	"-1.7205709"	"TRIM36"	"tripartite motif containing 36"
"201510_at"	"0.151"	"0.00017435"	"4.762705"	"0.8672"	"2.082074"	"ELF3"	"E74 like ETS transcription factor 3"
"214950_at"	"0.151"	"0.00018043"	"4.746613"	"0.8383"	"1.9781058"	"IL9R"	"interleukin 9 receptor"
"214774_x_at"	"0.151"	"0.00018872"	"-4.725583"	"0.8005"	"-1.0268832"	"TOX3"	"TOX high mobility group box family member 3"
"206202_at"	"0.151"	"0.00018938"	"4.723947"	"0.7976"	"2.5209384"	"MEOX2"	"mesenchyme homeobox 2"
"219476_at"	"0.151"	"0.00020355"	"4.690196"	"0.7368"	"1.1887263"	"C1orf116"	"chromosome 1 open reading frame 116"
"217392_at"	"0.151"	"0.00022112"	"4.651502"	"0.6669"	"1.961978"	""	""
"210517_s_at"	"0.151"	"0.00024081"	"-4.611719"	"0.5949"	"-0.8919246"	"AKAP12"	"A-kinase anchoring protein 12"
"216778_s_at"	"0.151"	"0.00024158"	"4.610226"	"0.5922"	"1.777548"	"CYLC1"	"cylicin 1"
"206343_s_at"	"0.151"	"0.0002474"	"-4.599128"	"0.5721"	"-1.905788"	"NRG1"	"neuregulin 1"
"205999_x_at"	"0.151"	"0.00025413"	"4.586633"	"0.5494"	"1.8234584"	"CYP3A4"	"cytochrome P450 family 3 subfamily A member 4"
"218456_at"	"0.151"	"0.00027352"	"-4.552408"	"0.4872"	"-0.848294"	"CAPRIN2"	"caprin family member 2"
"221911_at"	"0.151"	"0.00027385"	"-4.551854"	"0.4862"	"-2.1245845"	"ETV1"	"ETS variant 1"
"206786_at"	"0.151"	"0.00027559"	"4.548907"	"0.4809"	"1.4671267"	"HTN3"	"histatin 3"
"214777_at"	"0.151"	"0.0002788"	"4.543527"	"0.4711"	"1.2223965"	"IGKC"	"immunoglobulin kappa constant"
"205113_at"	"0.151"	"0.00028449"	"-4.534135"	"0.454"	"-1.5793801"	"NEFM"	"neurofilament, medium polypeptide"
"206384_at"	"0.151"	"0.00028726"	"-4.529629"	"0.4458"	"-2.2317051"	"CACNG3"	"calcium voltage-gated channel auxiliary subunit gamma 3"
"209603_at"	"0.151"	"0.00028931"	"4.526328"	"0.4398"	"1.6930976"	"GATA3"	"GATA binding protein 3"
"217483_at"	"0.151"	"0.00029699"	"4.514154"	"0.4176"	"1.5624159"	"FOLH1"	"folate hydrolase (prostate-specific membrane antigen) 1"
"216293_at"	"0.151"	"0.00030669"	"4.499236"	"0.3904"	"1.2735346"	"CLTA"	"clathrin light chain A"
"212149_at"	"0.151"	"0.00030817"	"-4.496992"	"0.3863"	"-1.0563509"	"EFR3A"	"EFR3 homolog A"
"210159_s_at"	"0.151"	"0.00031743"	"4.483265"	"0.3612"	"1.8934916"	"TRIM31"	"tripartite motif containing 31"
"203461_at"	"0.151"	"0.00031752"	"4.483125"	"0.361"	"1.5756135"	"CHD2"	"chromodomain helicase DNA binding protein 2"
"213967_at"	"0.151"	"0.00033393"	"-4.459753"	"0.3183"	"-1.1409431"	"RALYL"	"RALY RNA binding protein-like"
"203224_at"	"0.151"	"0.00034014"	"-4.451216"	"0.3026"	"-1.6155012"	"RFK"	"riboflavin kinase"
"209129_at"	"0.151"	"0.00036191"	"4.422476"	"0.25"	"0.7154548"	"TRIP6"	"thyroid hormone receptor interactor 6"
"208031_s_at"	"0.151"	"0.00036232"	"4.421959"	"0.2491"	"1.6388067"	"RFX2"	"regulatory factor X2"
"213413_at"	"0.151"	"0.00036619"	"4.417032"	"0.24"	"1.3632077"	"STON1"	"stonin 1"
"217188_s_at"	"0.151"	"0.00038188"	"-4.397623"	"0.2044"	"-2.3184642"	"C14orf1"	"chromosome 14 open reading frame 1"
"203340_s_at"	"0.151"	"0.0003827"	"-4.396629"	"0.2026"	"-1.1281579"	"SLC25A12"	"solute carrier family 25 member 12"
"217733_s_at"	"0.151"	"0.00038759"	"-4.390749"	"0.1918"	"-0.7580659"	"TMSB10"	"thymosin beta 10"
"203154_s_at"	"0.151"	"0.00038992"	"4.387976"	"0.1867"	"0.9661222"	"PAK4"	"p21 (RAC1) activated kinase 4"
"202033_s_at"	"0.151"	"0.00039728"	"-4.379337"	"0.1709"	"-0.9009293"	"RB1CC1"	"RB1 inducible coiled-coil 1"
"215769_at"	"0.151"	"0.00039943"	"4.376832"	"0.1663"	"1.1310079"	"YME1L1"	"YME1 like 1 ATPase"
"214674_at"	"0.151"	"0.00040808"	"4.366927"	"0.1481"	"0.9810408"	"USP19"	"ubiquitin specific peptidase 19"
"204288_s_at"	"0.151"	"0.00040864"	"-4.366293"	"0.1469"	"-1.1693362"	"SORBS2"	"sorbin and SH3 domain containing 2"
"214927_at"	"0.151"	"0.00041523"	"4.358905"	"0.1333"	"1.1595912"	"ITGBL1"	"integrin subunit beta like 1"
"206620_at"	"0.151"	"0.00041599"	"4.358056"	"0.1318"	"1.4903859"	"GRAP"	"GRB2-related adaptor protein"
"204870_s_at"	"0.151"	"0.00042319"	"-4.350133"	"0.1172"	"-1.2450996"	"PCSK2"	"proprotein convertase subtilisin/kexin type 2"
"222196_at"	"0.151"	"0.00042749"	"4.34546"	"0.1086"	"2.6428923"	"LOC389906"	"zinc finger protein 839 pseudogene"
"205691_at"	"0.159"	"0.00045853"	"-4.313093"	"0.049"	"-1.3304986"	"SYNGR3"	"synaptogyrin 3"
"206017_at"	"0.159"	"0.00047161"	"-4.300116"	"0.0251"	"-1.0990558"	"KIAA0319"	"KIAA0319"
"206137_at"	"0.159"	"0.00047173"	"-4.299998"	"0.0249"	"-1.3695561"	"RIMS2"	"regulating synaptic membrane exocytosis 2"
"215522_at"	"0.159"	"0.00047658"	"-4.295281"	"0.0162"	"-1.1220764"	"SORCS3"	"sortilin related VPS10 domain containing receptor 3"
"210302_s_at"	"0.162"	"0.00049327"	"4.279401"	"-0.0131"	"0.8363366"	"MAB21L2"	"mab-21 like 2"
"204187_at"	"0.163"	"0.00050942"	"4.264548"	"-0.0405"	"1.1100005"	"GMPR"	"guanosine monophosphate reductase"
"216059_at"	"0.163"	"0.00051767"	"4.257146"	"-0.0542"	"1.5617237"	"PAX3"	"paired box 3"
"206240_s_at"	"0.163"	"0.00051874"	"4.256198"	"-0.056"	"0.8482608"	"ZNF136"	"zinc finger protein 136"
"216364_s_at"	"0.164"	"0.00053116"	"4.245296"	"-0.0761"	"1.7644064"	"AFF2"	"AF4/FMR2 family member 2"
"217367_s_at"	"0.167"	"0.00054873"	"4.230303"	"-0.1038"	"0.8588117"	"ZHX3"	"zinc fingers and homeoboxes 3"
"215301_at"	"0.168"	"0.00055713"	"4.223307"	"-0.1168"	"1.578646"	"SYCE1L"	"synaptonemal complex central element protein 1 like"
"214417_s_at"	"0.168"	"0.00056432"	"4.217402"	"-0.1277"	"1.0329834"	"FETUB"	"fetuin B"
"215191_at"	"0.168"	"0.00058626"	"4.199845"	"-0.1602"	"1.2602612"	""	""
"205956_x_at"	"0.168"	"0.00058703"	"4.199245"	"-0.1613"	"0.7819209"	"PSMC3IP"	"PSMC3 interacting protein"
"221580_s_at"	"0.168"	"0.00058719"	"-4.199117"	"-0.1616"	"-0.9025646"	"MIR1304///SNORD5///SNORA32///SNORA40///SNORA18///SNORA1///SNORA8///TAF1D"	"microRNA 1304///small nucleolar RNA, C/D box 5///small nucleolar RNA, H/ACA box 32///small nucleolar RNA, H/ACA box 40///small nucleolar RNA, H/ACA box 18///small nucleolar RNA, H/ACA box 1///small nucleolar RNA, H/ACA box 8///TATA-box binding protein associated factor, RNA polymerase I subunit D"
"211839_s_at"	"0.171"	"0.00060577"	"4.184779"	"-0.1881"	"0.9945833"	"CSF1"	"colony stimulating factor 1"
"220615_s_at"	"0.172"	"0.00061621"	"-4.176923"	"-0.2027"	"-2.1197246"	"FAR2"	"fatty acyl-CoA reductase 2"
"211675_s_at"	"0.172"	"0.00062483"	"4.17053"	"-0.2145"	"0.9457059"	"MDFIC"	"MyoD family inhibitor domain containing"
"218826_at"	"0.173"	"0.00063507"	"4.163057"	"-0.2284"	"0.7794429"	"SLC35F2"	"solute carrier family 35 member F2"
"203507_at"	"0.175"	"0.00068341"	"4.129332"	"-0.291"	"0.8947835"	"LOC101928634///SNORA67///CD68"	"uncharacterized LOC101928634///small nucleolar RNA, H/ACA box 67///CD68 molecule"
"209070_s_at"	"0.175"	"0.0006886"	"-4.125856"	"-0.2974"	"-1.8588649"	"RGS5"	"regulator of G-protein signaling 5"
