"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10595298"	"0.0000205"	"1.17e-09"	"10.219507"	"12.12108"	"1.4564725"	"Filip1"	"filamin A interacting protein 1"
"10422348"	"0.0000205"	"1.17e-09"	"10.219"	"12.12028"	"0.8726021"	"Uggt2"	"UDP-glucose glycoprotein glucosyltransferase 2"
"10410099"	"0.0000205"	"1.84e-09"	"9.9604666"	"11.70363"	"0.770203"	"Cdc14b"	"CDC14 cell division cycle 14B"
"10445347"	"0.0000205"	"2.44e-09"	"-9.8017871"	"11.44339"	"-1.2192656"	"Clic5"	"chloride intracellular channel 5"
"10449258"	"0.0000205"	"2.88e-09"	"-9.710961"	"11.29287"	"-1.2967504"	"Arhgdig"	"Rho GDP dissociation inhibitor (GDI) gamma"
"10517053"	"0.000022"	"3.72e-09"	"-9.5689997"	"11.0553"	"-0.7851712"	"Trnp1"	"TMF1-regulated nuclear protein 1"
"10520506"	"0.0000257"	"5.79e-09"	"-9.3281407"	"10.64574"	"-0.942497"	"Kcnk3"	"potassium channel, subfamily K, member 3"
"10406982"	"0.0000257"	"5.79e-09"	"9.3276455"	"10.64489"	"1.2668348"	"Adamts6"	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6"
"10598794"	"0.0000318"	"8.06e-09"	"9.150324"	"10.33807"	"1.0786684"	""	""
"10488553"	"0.0000329"	"9.65e-09"	"9.0542818"	"10.17"	"2.5824483"	"4921509C19Rik"	"RIKEN cDNA 4921509C19 gene"
"10505198"	"0.0000329"	"1.11e-08"	"-8.9784298"	"10.03632"	"-0.5468798"	"1700018M17Rik"	"RIKEN cDNA 1700018M17 gene"
"10364102"	"0.0000329"	"1.16e-08"	"-8.957235"	"9.99881"	"-0.8445564"	"Chchd10"	"coiled-coil-helix-coiled-coil-helix domain containing 10"
"10341431"	"0.0000329"	"1.20e-08"	"8.9372498"	"9.96339"	"0.8422774"	""	""
"10533504"	"0.0000358"	"1.41e-08"	"8.8540947"	"9.81538"	"0.5992619"	"Ift81"	"intraflagellar transport 81"
"10414527"	"0.0000385"	"1.65e-08"	"8.7724154"	"9.669"	"1.2505085"	"Pnp2///Pnp"	"purine-nucleoside phosphorylase 2///purine-nucleoside phosphorylase"
"10523595"	"0.0000385"	"1.87e-08"	"8.7074168"	"9.55182"	"1.5100657"	"Ptpn13"	"protein tyrosine phosphatase, non-receptor type 13"
"10479973"	"0.0000385"	"1.89e-08"	"8.7021834"	"9.54236"	"1.0185899"	"Gm10115"	"predicted gene 10115"
"10596231"	"0.0000385"	"1.95e-08"	"8.6861243"	"9.5133"	"0.9691474"	"Dnajc13///Dnajc13"	"DnaJ heat shock protein family (Hsp40) member C13///DnaJ heat shock protein family (Hsp40) member C13"
"10346374"	"0.0000428"	"2.36e-08"	"8.5876905"	"9.33435"	"0.7964487"	"Aox1"	"aldehyde oxidase 1"
"10570280"	"0.0000428"	"2.56e-08"	"8.5448878"	"9.25608"	"1.0829564"	"F7"	"coagulation factor VII"
"10578557"	"0.0000428"	"2.60e-08"	"8.536847"	"9.24135"	"0.6925304"	"Primpol"	"primase and polymerase (DNA-directed)"
"10395466"	"0.0000428"	"2.65e-08"	"8.5278215"	"9.2248"	"0.937057"	"Dock4"	"dedicator of cytokinesis 4"
"10410931"	"0.0000436"	"2.89e-08"	"8.484151"	"9.14456"	"1.5854742"	"Vcan"	"versican"
"10504419"	"0.0000436"	"2.95e-08"	"8.472999"	"9.12403"	"1.3072793"	"5430416O09Rik"	"RIKEN cDNA 5430416O09 gene"
"10363706"	"0.0000436"	"3.07e-08"	"8.4531827"	"9.08749"	"0.6761414"	"Jmjd1c"	"jumonji domain containing 1C"
"10556067"	"0.000045"	"3.29e-08"	"-8.4167893"	"9.02024"	"-0.8061789"	"Syt9"	"synaptotagmin IX"
"10471721"	"0.0000457"	"3.54e-08"	"8.3807453"	"8.95344"	"1.2054242"	"Ptgs1"	"prostaglandin-endoperoxide synthase 1"
"10600857"	"0.0000457"	"3.60e-08"	"8.372128"	"8.93744"	"1.9835602"	"Heph"	"hephaestin"
"10521111"	"0.0000464"	"3.78e-08"	"-8.3462956"	"8.88941"	"-0.8664165"	"Fgfr3"	"fibroblast growth factor receptor 3"
"10367673"	"0.0000483"	"4.11e-08"	"8.3039674"	"8.8105"	"1.0997526"	"Plekhg1"	"pleckstrin homology domain containing, family G (with RhoGef domain) member 1"
"10596281"	"0.0000483"	"4.21e-08"	"8.2926594"	"8.78937"	"1.034827"	"Dnajc13"	"DnaJ heat shock protein family (Hsp40) member C13"
"10583834"	"0.0000551"	"5.05e-08"	"8.2007619"	"8.61697"	"0.875277"	"9530077C05Rik"	"RIKEN cDNA 9530077C05 gene"
"10394593"	"0.0000551"	"5.17e-08"	"8.1886943"	"8.59424"	"1.133696"	"Fam49a"	"family with sequence similarity 49, member A"
"10579199"	"0.0000551"	"5.34e-08"	"-8.1728563"	"8.56437"	"-0.9116324"	"Slc25a42"	"solute carrier family 25, member 42"
"10571599"	"0.0000551"	"5.54e-08"	"8.154246"	"8.52922"	"1.054638"	""	""
"10459590"	"0.0000551"	"5.58e-08"	"8.1506832"	"8.52249"	"1.1412016"	"Ptpn2"	"protein tyrosine phosphatase, non-receptor type 2"
"10435752"	"0.0000579"	"6.03e-08"	"-8.1125956"	"8.45038"	"-0.8628516"	"Lsamp"	"limbic system-associated membrane protein"
"10453636"	"0.0000628"	"6.71e-08"	"8.0590384"	"8.34861"	"0.7527072"	"Svil"	"supervillin"
"10376455"	"0.0000628"	"7.03e-08"	"-8.0358959"	"8.30451"	"-0.6415043"	"Hist3h2a"	"histone cluster 3, H2a"
"10519855"	"0.0000628"	"7.08e-08"	"8.0323362"	"8.29772"	"1.4514661"	"Cacna2d1"	"calcium channel, voltage-dependent, alpha2/delta subunit 1"
"10459602"	"0.0000628"	"7.25e-08"	"8.0211221"	"8.27631"	"0.8950587"	"Ptpn2"	"protein tyrosine phosphatase, non-receptor type 2"
"10349569"	"0.0000648"	"8.09e-08"	"7.9666641"	"8.17208"	"1.3732195"	""	""
"10434802"	"0.0000648"	"8.15e-08"	"7.9629318"	"8.16492"	"0.7917759"	"Lpp"	"LIM domain containing preferred translocation partner in lipoma"
"10566161"	"0.0000648"	"8.21e-08"	"7.9590917"	"8.15755"	"0.6280299"	"Trim68"	"tripartite motif-containing 68"
"10439798"	"0.0000648"	"8.38e-08"	"7.9493633"	"8.13888"	"0.7111211"	"Dzip3"	"DAZ interacting protein 3, zinc finger"
"10500610"	"0.0000648"	"8.61e-08"	"-7.9356981"	"8.11262"	"-0.9112785"	"Fam46c///Fam46c"	"family with sequence similarity 46, member C///family with sequence similarity 46, member C"
"10431546"	"0.0000648"	"8.70e-08"	"-7.9306363"	"8.10288"	"-0.4886906"	"Sco2///Tymp"	"SCO2 cytochrome c oxidase assembly protein///thymidine phosphorylase"
"10402648"	"0.0000648"	"8.75e-08"	"-7.9279367"	"8.09769"	"-0.8157646"	"Mpc1"	"mitochondrial pyruvate carrier 1"
"10408490"	"0.0000654"	"9.06e-08"	"7.9109617"	"8.06501"	"0.8669235"	"Exoc2"	"exocyst complex component 2"
"10594855"	"0.0000654"	"9.20e-08"	"7.9033973"	"8.05044"	"0.716835"	"Cgnl1"	"cingulin-like 1"
"10576911"	"0.0000723"	"1.05e-07"	"7.8383865"	"7.92481"	"0.9807605"	"Efnb2"	"ephrin B2"
"10416279"	"0.0000723"	"1.07e-07"	"-7.8298131"	"7.9082"	"-1.9840269"	"Lgi3"	"leucine-rich repeat LGI family, member 3"
"10524844"	"0.0000723"	"1.08e-07"	"7.8258991"	"7.90061"	"1.1209507"	"Taok3"	"TAO kinase 3"
"10392904"	"0.0000728"	"1.12e-07"	"-7.8084801"	"7.86681"	"-0.4172831"	"Ush1g"	"Usher syndrome 1G"
"10596265"	"0.0000728"	"1.13e-07"	"7.8041788"	"7.85846"	"0.9374059"	"Dnajc13"	"DnaJ heat shock protein family (Hsp40) member C13"
"10583021"	"0.0000733"	"1.16e-07"	"7.7918899"	"7.83458"	"1.5289418"	"Pdgfd"	"platelet-derived growth factor, D polypeptide"
"10603573"	"0.0000775"	"1.24e-07"	"7.7566284"	"7.76593"	"1.057794"	"Sytl5"	"synaptotagmin-like 5"
"10346764"	"0.000079"	"1.34e-07"	"7.7190824"	"7.69263"	"0.5217732"	"Abi2"	"abl-interactor 2"
"10514668"	"0.000079"	"1.34e-07"	"7.7189045"	"7.69228"	"0.6673697"	"Jak1"	"Janus kinase 1"
"10345777"	"0.000079"	"1.34e-07"	"7.7188298"	"7.69213"	"1.3837018"	"Il1rl2"	"interleukin 1 receptor-like 2"
