"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"227791_at"	"0.162"	"0.0000149"	"5.7907204"	"2.4201"	"2.4307258"	"SLC9A9"	"solute carrier family 9 member A9"
"240308_at"	"0.162"	"0.00002"	"-5.6518023"	"2.2053"	"-2.0841764"	""	""
"232050_at"	"0.162"	"0.0000214"	"-5.6200942"	"2.1558"	"-1.8631579"	"FLJ42627"	"uncharacterized LOC645644"
"235517_at"	"0.261"	"0.0000495"	"5.2345352"	"1.5404"	"2.4310916"	"PACRGL"	"PARK2 coregulated like"
"227683_x_at"	"0.261"	"0.0000583"	"5.1597408"	"1.4182"	"1.629568"	"NUDT4"	"nudix hydrolase 4"
"235709_at"	"0.261"	"0.0000779"	"5.0283251"	"1.2014"	"2.6481232"	"GAS2L3"	"growth arrest specific 2 like 3"
"238171_at"	"0.261"	"0.0000822"	"-5.004501"	"1.1618"	"-2.2193161"	"SLC25A30"	"solute carrier family 25 member 30"
"229373_at"	"0.261"	"0.0000922"	"4.9524828"	"1.0751"	"2.7014869"	""	""
"230668_at"	"0.262"	"0.0001054"	"-4.8923892"	"0.9744"	"-2.5800202"	"NKAIN4"	"Na+/K+ transporting ATPase interacting 4"
"225518_x_at"	"0.262"	"0.0001155"	"-4.8509869"	"0.9048"	"-2.0505176"	"MTHFD1L"	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like"
"242575_at"	"0.288"	"0.0001427"	"4.7562748"	"0.7446"	"1.6392113"	"SMG7"	"SMG7, nonsense mediated mRNA decay factor"
"235164_at"	"0.288"	"0.0001535"	"4.7235598"	"0.6889"	"1.361135"	"ZNF25"	"zinc finger protein 25"
"244025_at"	"0.288"	"0.0001652"	"4.6907344"	"0.633"	"1.8105835"	"ITPRIP"	"inositol 1,4,5-trisphosphate receptor interacting protein"
"231841_s_at"	"0.306"	"0.0001924"	"4.6229074"	"0.517"	"2.3921124"	"KIAA1462"	"KIAA1462"
"243276_at"	"0.306"	"0.0002027"	"-4.5996126"	"0.477"	"-2.3650614"	"ALS2CL"	"ALS2 C-terminal like"
"227607_at"	"0.318"	"0.0002563"	"4.4953066"	"0.2972"	"2.358626"	"STAMBPL1"	"STAM binding protein like 1"
