"symbol"	"log2fc"	"pv"	"fdr"	"sv"	"dataset_id"	"dataset_annot"
"Mela"	3.32866786	3.36e-06	0.0216619	5.47366072261016	"GSE22873"	"myd88_liver"
"Zfp979"	2.05269965	1.31e-05	0.0591141	4.88272870434424	"GSE22873"	"myd88_liver"
"Creb3l2"	1.71529053	0.0014	0.2840335	2.85387196432176	"GSE22873"	"myd88_liver"
"4931408D14Rik"	1.68596033	0.000327	0.2141381	3.48545224733971	"GSE22873"	"myd88_liver"
"Tacc2"	1.67105906	0.01	0.3838471	2	"GSE22873"	"myd88_liver"
"Fosb"	1.61567548	0.00952	0.3824068	2.02136305161553	"GSE22873"	"myd88_liver"
"Il6ra"	1.54876643	0.00051	0.2232438	3.29242982390206	"GSE22873"	"myd88_liver"
"Itga9"	1.5460291	8.37e-08	0.0012581	7.07727454200674	"GSE22873"	"myd88_liver"
"Zfp36l2"	1.53501736	0.0149	0.4011866	1.82681373158773	"GSE22873"	"myd88_liver"
"Fat1"	1.52733863	0.0137	0.3935117	1.86327943284359	"GSE22873"	"myd88_liver"
"Igha///Igh-VJ558"	1.48783217	0.000287	0.2141381	3.54211810326601	"GSE22873"	"myd88_liver"
"2700079J08Rik"	1.47852364	0.0336	0.4433091	1.47366072261016	"GSE22873"	"myd88_liver"
"Arid5b"	1.47815715	0.0141	0.3958738	1.85078088734462	"GSE22873"	"myd88_liver"
"Cyp2b9"	1.4629159	0.047	0.4681706	1.32790214206428	"GSE22873"	"myd88_liver"
"Cited2"	1.45096796	0.045	0.4649545	1.34678748622466	"GSE22873"	"myd88_liver"
"Pcdh1"	1.44020909	0.000722	0.2447122	3.14146280243036	"GSE22873"	"myd88_liver"
"Dpy19l3"	1.38963441	0.000659	0.2355644	3.18111458540599	"GSE22873"	"myd88_liver"
"Fn1"	1.37432138	0.00567	0.3751855	2.24641694110709	"GSE22873"	"myd88_liver"
"Postn"	1.34213287	0.000104	0.1914027	3.98296666070122	"GSE22873"	"myd88_liver"
"Bmyc"	1.33205112	6.83e-05	0.1620803	4.16557929631847	"GSE22873"	"myd88_liver"
"Irs2"	1.29983242	0.00748	0.3823374	2.12609840213554	"GSE22873"	"myd88_liver"
"Rnf214///AI842136"	1.29092218	0.00351	0.3538968	2.45469288353418	"GSE22873"	"myd88_liver"
"Dixdc1"	1.27114576	0.00345	0.3538968	2.46218090492673	"GSE22873"	"myd88_liver"
"Crim1"	1.26196258	0.000309	0.2141381	3.51004152057517	"GSE22873"	"myd88_liver"
"Atxn2"	1.25459887	0.000538	0.2268634	3.26921772433361	"GSE22873"	"myd88_liver"
"Kmt2c"	1.25376004	0.0257	0.424546	1.59006687666871	"GSE22873"	"myd88_liver"
"St5"	1.2507384	0.0313	0.4387773	1.50445566245355	"GSE22873"	"myd88_liver"
"Arhgap35"	1.2488659	0.00607	0.3774103	2.21681130892474	"GSE22873"	"myd88_liver"
"Irf2bpl"	1.24869155	0.00011	0.1914027	3.95860731484178	"GSE22873"	"myd88_liver"
"Cidec"	1.24183925	0.0192	0.4078053	1.71669877129645	"GSE22873"	"myd88_liver"
"Jade2"	1.23097322	0.000549	0.2268634	3.26042765554991	"GSE22873"	"myd88_liver"
"Rps6ka1"	1.22742222	0.0014	0.2840335	2.85387196432176	"GSE22873"	"myd88_liver"
"Rassf5"	1.21332728	0.000593	0.2355644	3.22694530663574	"GSE22873"	"myd88_liver"
"Mast3"	1.21044027	0.000542	0.2268634	3.26600071346161	"GSE22873"	"myd88_liver"
"Brd4"	1.20958311	0.0477	0.470468	1.32148162095989	"GSE22873"	"myd88_liver"
"Zcchc14"	1.20484388	0.000159	0.2074823	3.79860287567955	"GSE22873"	"myd88_liver"
"D630004K10Rik"	1.20220451	0.00682	0.3823374	2.16621562534352	"GSE22873"	"myd88_liver"
"LOC100503923///Gm15433///LOC100041903///Gm2666///Gm7609///Csprs"	1.20168571	0.00758	0.3823374	2.12033079436795	"GSE22873"	"myd88_liver"
"Nbeal1"	1.20090289	0.024	0.4182238	1.61978875828839	"GSE22873"	"myd88_liver"
"Spred1"	1.18428425	0.0132	0.3935117	1.87942606879415	"GSE22873"	"myd88_liver"
"Ago2"	1.18382832	0.0445	0.4642592	1.35163998901907	"GSE22873"	"myd88_liver"
"Zmiz1"	1.17621807	0.0155	0.4011866	1.80966830182971	"GSE22873"	"myd88_liver"
"Cnot6l"	1.16651363	0.0418	0.4579657	1.37882371822496	"GSE22873"	"myd88_liver"
"Fam98b"	1.16205098	0.0484	0.4711993	1.31515463835559	"GSE22873"	"myd88_liver"
