"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10504178"	"1.44e-07"	"5.74e-12"	"51.5876642"	"10.98819"	"2.458449"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene"
"10504169"	"1.44e-07"	"8.11e-12"	"49.536582"	"10.939507"	"2.2936055"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene"
"10504148"	"2.27e-07"	"1.92e-11"	"44.7766235"	"10.802486"	"2.5195645"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene"
"10504172"	"2.62e-07"	"4.09e-11"	"40.9672303"	"10.661136"	"2.13158125"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik///4930578G10Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene///RIKEN cDNA 4930578G10 gene"
"10504123"	"2.62e-07"	"4.76e-11"	"40.2453833"	"10.630323"	"2.45725325"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene"
"10504125"	"2.62e-07"	"4.76e-11"	"40.2453833"	"10.630323"	"2.45725325"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene"
"10512327"	"2.62e-07"	"5.33e-11"	"39.7107906"	"10.606557"	"2.2327375"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene"
"10504121"	"2.62e-07"	"5.90e-11"	"39.2426533"	"10.58505"	"2.39420225"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene"
"10504139"	"3.32e-07"	"8.41e-11"	"37.6361566"	"10.505932"	"2.178286"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik///4930578G10Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene///RIKEN cDNA 4930578G10 gene"
"10557470"	"9.17e-06"	"2.58e-09"	"25.1371159"	"9.431165"	"3.00095075"	"Gdpd3"	"glycerophosphodiester phosphodiesterase domain containing 3"
"10404606"	"2.45e-05"	"7.57e-09"	"-22.1226158"	"8.955568"	"-1.0697475"	"Ly86"	"lymphocyte antigen 86"
"10418210"	"2.67e-05"	"9.01e-09"	"21.6709004"	"8.872115"	"1.312013"	"Tmem254b///Tmem254c///Tmem254a"	"transmembrane protein 254b///transmembrane protein 254c///transmembrane protein 254a"
"10418185"	"2.79e-05"	"1.02e-08"	"21.3517273"	"8.810941"	"1.30748525"	"Tmem254b///Tmem254c///Tmem254a"	"transmembrane protein 254b///transmembrane protein 254c///transmembrane protein 254a"
"10418198"	"3.21e-05"	"1.27e-08"	"20.8115131"	"8.70301"	"1.3210285"	"Tmem254b///Tmem254c///Tmem254a"	"transmembrane protein 254b///transmembrane protein 254c///transmembrane protein 254a"
"10475517"	"3.73e-05"	"1.63e-08"	"-20.1935141"	"8.572357"	"-1.46940775"	"AA467197"	"expressed sequence AA467197"
"10474229"	"3.73e-05"	"1.68e-08"	"-20.122457"	"8.556819"	"-1.73455675"	"Cd59a"	"CD59a antigen"
"10510399"	"4.75e-05"	"2.27e-08"	"19.4108199"	"8.394989"	"0.93638425"	"Masp2"	"mannan-binding lectin serine peptidase 2"
"10486403"	"5.14e-05"	"2.60e-08"	"19.0967609"	"8.319812"	"1.539314"	"Pla2g4e"	"phospholipase A2, group IVE"
"10502196"	"5.78e-05"	"3.09e-08"	"-18.7107703"	"8.224075"	"-1.04796675"	"Rpl34"	"ribosomal protein L34"
"10412394"	"8.20e-05"	"4.61e-08"	"-17.8349895"	"7.992258"	"-0.7865575"	"Nnt"	"nicotinamide nucleotide transhydrogenase"
"10510221"	"1.67e-04"	"9.84e-08"	"-16.2840117"	"7.525617"	"-1.0645115"	"Gm42035///Gm3579"	"predicted gene, 42035///predicted gene 3579"
"10413152"	"1.91e-04"	"1.18e-07"	"15.9275742"	"7.40696"	"0.81319075"	"1700112E06Rik"	"RIKEN cDNA 1700112E06 gene"
"10566326"	"2.19e-04"	"1.42e-07"	"-15.5837622"	"7.28805"	"-1.68458625"	"Trim12a"	"tripartite motif-containing 12A"
"10566366"	"2.62e-04"	"1.77e-07"	"-15.1751728"	"7.14076"	"-1.76885275"	"Trim30d"	"tripartite motif-containing 30D"
"10418193"	"3.25e-04"	"2.28e-07"	"14.7092716"	"6.964445"	"0.98477125"	"Plac9b///Gm9780///Plac9a"	"placenta specific 9b///predicted gene 9780///placenta specific 9a"
