"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10504178"	"0.0000015"	"5.92e-11"	"39.2640777"	"8.466319"	"1.8903315"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene"
"10504169"	"0.0000015"	"8.45e-11"	"37.6538156"	"8.419319"	"1.713983"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene"
"10504148"	"0.00000213"	"1.80e-10"	"34.45201"	"8.307593"	"1.950467"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene"
"10421186"	"0.00000261"	"3.43e-10"	"31.9261255"	"8.197578"	"2.175634"	"Gm10002"	"predicted gene 10002"
"10504172"	"0.00000261"	"3.68e-10"	"31.668316"	"8.185024"	"1.61160125"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik///4930578G10Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene///RIKEN cDNA 4930578G10 gene"
"10512327"	"0.00000296"	"6.34e-10"	"29.6946469"	"8.079289"	"1.6543"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene"
"10504123"	"0.00000296"	"6.65e-10"	"29.5296088"	"8.069604"	"1.85173575"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene"
"10504125"	"0.00000296"	"6.65e-10"	"29.5296088"	"8.069604"	"1.85173575"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene"
"10504139"	"0.0000031"	"7.84e-10"	"28.961352"	"8.03516"	"1.6534285"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik///4930578G10Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene///RIKEN cDNA 4930578G10 gene"
"10504121"	"0.00000352"	"9.89e-10"	"28.1778447"	"7.984708"	"1.79896975"	"Gm17167///Gm21158///Gm3893///Gm7819///Gm10590///Gm5859///4933409K07Rik"	"predicted gene 17167///predicted gene, 21158///predicted gene 3893///predicted gene 7819///predicted gene 10590///predicted pseudogene 5859///RIKEN cDNA 4933409K07 gene"
